500 500 160
1 438 11
1 51 121
1 8 192
1 499 320
1 240 277
1 135 69
1 281 80
1 99 65
1 204 36
1 40 347
1 496 485
1 130 386
1 166 71
1 90 475
1 37 404
1 355 12
1 192 261
1 415 463
1 175 215
1 248 480
1 415 436
1 408 382
1 324 142
1 2 205
1 26 369
1 392 52
1 339 202
1 474 162
1 336 33
1 163 397
1 88 203
1 22 444
1 37 271
1 105 85
1 77 136
1 12 213
1 174 461
1 87 328
1 173 249
1 385 318
1 272 42
1 163 233
1 178 412
1 65 108
1 285 56
1 193 134
1 237 44
1 131 112
1 216 277
1 388 204
0 18 41 1
0 36 19 1
0 36 4 1
0 25 43 1
0 44 24 1
0 19 3 1
0 2 44 1
0 25 40 1
0 28 30 1
0 47 7 1
0 41 6 1
0 27 29 1
0 10 46 1
0 44 42 1
0 9 45 1
3 1 117 251
0 6 31 1
0 2 22 1
0 36 49 1
0 32 3 1
0 8 40 1
0 47 27 1
0 12 28 1
3 3 374 181
0 15 47 1
0 32 25 1
0 4 11 1
0 22 21 1
0 7 20 1
3 6 350 207
0 48 26 1
0 49 47 1
0 41 1 1
0 20 15 1
0 35 47 1
0 39 36 1
0 36 13 1
0 44 1 1
0 39 20 1
0 45 16 1
0 36 49 1
0 16 19 1
0 25 23 1
0 46 4 1
3 8 333 166
0 37 20 1
0 21 16 1
0 11 30 1
0 35 49 1
0 26 42 1
0 35 19 1
0 29 3 1
0 1 48 1
0 37 2 1
3 10 379 486
0 39 0 1
0 32 39 1
0 43 29 1
0 32 25 1
0 33 28 1
0 37 0 1
0 43 16 1
0 11 23 1
0 6 3 1
0 34 30 1
0 46 42 1
0 30 3 1
0 15 26 1
0 30 35 1
0 4 25 1
0 26 12 1
0 41 44 1
0 28 11 1
0 12 17 1
0 18 24 1
0 47 49 1
0 36 21 1
0 24 17 1
0 36 42 1
0 47 1 1
0 40 43 1
0 29 48 1
0 45 15 1
0 23 30 1
0 30 26 1
0 34 6 1
0 23 21 1
0 41 15 1
0 38 15 1
0 11 27 1
3 12 70 48
0 4 16 1
0 43 38 1
0 49 16 1
0 14 5 1
0 2 33 1
0 8 4 1
0 26 35 1
0 20 41 1
0 8 24 1
0 7 13 1
0 28 16 1
0 24 39 1
3 16 196 221
0 1 28 1
0 1 9 1
0 30 0 1
0 17 4 1
0 0 48 1
0 49 11 1
3 32 164 258
0 38 6 1
0 38 33 1
0 42 25 1
0 19 47 1
0 26 17 1
0 16 44 1
0 20 31 1
0 44 36 1
0 38 49 1
0 35 24 1
0 38 1 1
0 5 46 1
0 29 43 1
0 5 35 1
0 34 15 1
0 19 46 1
0 6 35 1
0 11 15 1
0 45 31 1
0 18 27 1
0 3 14 1
0 18 3 1
0 0 49 1
0 16 9 1
0 28 18 1
0 23 15 1
0 32 43 1
0 34 35 1
0 3 17 1
0 16 30 1
0 15 38 1
0 31 5 1
0 48 33 1
0 7 29 1
0 3 26 1
0 19 5 1
0 18 30 1
0 41 21 1
0 44 49 1
0 23 33 1
0 10 38 1
0 0 14 1
0 21 23 1
0 34 18 1
0 9 18 1
0 46 17 1
3 35 160 103
0 44 29 1
0 35 14 1
0 30 12 1
0 3 41 1
0 33 17 1
0 10 39 1
0 44 0 1
0 11 13 1
0 33 2 1
0 44 15 1
0 15 39 1
0 10 48 1
0 39 12 1
0 42 30 1
0 3 9 1
0 16 5 1
0 3 11 1
0 26 44 1
0 21 15 1
0 16 46 1
0 10 11 1
0 4 8 1
0 16 12 1
0 3 7 1
0 2 36 1
0 37 22 1
0 20 24 1
0 14 40 1
0 29 7 1
0 8 19 1
0 41 39 1
3 42 263 362
0 17 36 1
0 21 16 1
0 46 3 1
0 2 30 1
0 40 32 1
0 44 32 1
0 46 32 1
0 45 2 1
0 11 18 1
0 48 29 1
0 31 22 1
0 45 46 1
0 47 4 1
0 14 4 1
0 34 16 1
0 31 35 1
0 24 33 1
0 0 40 1
0 8 35 1
0 7 15 1
