500 500 160
1 438 11
1 51 121
1 8 192
1 499 320
1 240 277
1 135 69
1 281 80
1 99 65
1 204 36
1 40 347
1 496 485
1 130 386
1 166 71
1 90 475
1 37 404
1 355 12
1 192 261
1 415 463
1 175 215
1 248 480
1 415 436
1 408 382
1 324 142
1 2 205
1 26 369
1 392 52
1 339 202
1 474 162
1 336 33
1 163 397
1 88 203
1 22 444
1 37 271
1 105 85
1 77 136
1 12 213
1 174 461
1 87 328
1 173 249
1 385 318
1 272 42
1 163 233
1 178 412
1 65 108
1 285 56
1 193 134
1 237 44
1 131 112
1 216 277
1 388 204
0 33 9 1
0 23 7 1
0 33 21 1
0 45 4 1
0 32 16 1
0 8 26 1
0 42 2 1
3 2 62 243
0 27 19 1
0 30 4 1
0 40 18 1
0 17 23 1
0 34 49 1
0 42 35 1
0 28 27 1
0 30 33 1
0 0 42 1
0 43 46 1
0 15 6 1
0 45 42 1
0 39 7 1
0 3 34 1
0 19 7 1
0 43 45 1
0 36 49 1
0 2 33 1
0 43 22 1
0 30 21 1
0 36 35 1
0 40 22 1
0 28 0 1
0 49 34 1
0 16 31 1
0 5 9 1
0 2 36 1
0 11 14 1
0 49 4 1
0 47 9 1
0 11 5 1
0 38 9 1
0 24 39 1
0 23 31 1
0 21 34 1
0 9 32 1
0 28 7 1
0 15 6 1
0 0 17 1
0 21 36 1
0 38 2 1
0 19 3 1
0 0 24 1
0 5 10 1
0 41 2 1
0 10 3 1
0 38 2 1
0 6 49 1
0 5 36 1
0 13 47 1
0 10 45 1
0 10 46 1
0 25 15 1
0 48 2 1
0 3 17 1
0 6 32 1
0 32 2 1
0 1 22 1
0 44 30 1
0 12 39 1
0 45 0 1
0 24 34 1
0 29 14 1
0 26 16 1
0 4 32 1
0 11 49 1
0 35 44 1
0 34 49 1
0 6 3 1
3 6 407 135
0 5 29 1
0 21 29 1
0 32 2 1
0 42 10 1
0 2 21 1
0 38 24 1
3 10 462 408
0 48 43 1
0 19 20 1
0 17 24 1
0 32 3 1
0 8 6 1
0 45 15 1
0 43 35 1
0 31 25 1
0 48 37 1
0 1 20 1
0 48 1 1
0 46 38 1
0 13 1 1
0 26 3 1
0 2 15 1
0 34 6 1
0 31 46 1
0 33 48 1
0 32 29 1
0 15 10 1
0 42 41 1
0 1 14 1
0 34 14 1
0 3 28 1
0 34 45 1
0 7 30 1
0 11 47 1
0 12 6 1
0 16 19 1
0 25 35 1
0 44 14 1
0 4 18 1
0 22 26 1
0 45 16 1
3 12 178 56
0 48 20 1
0 3 2 1
0 2 28 1
0 47 1 1
0 48 44 1
0 10 30 1
0 3 16 1
0 49 7 1
0 31 1 1
0 32 45 1
0 40 24 1
0 49 25 1
0 36 20 1
0 25 41 1
0 11 46 1
0 34 45 1
0 12 49 1
0 38 21 1
0 45 2 1
0 5 40 1
0 12 24 1
0 11 31 1
3 19 274 359
0 4 49 1
3 29 149 427
0 0 42 1
0 17 10 1
0 25 32 1
0 23 31 1
0 38 27 1
0 42 16 1
0 22 15 1
3 32 120 354
0 24 46 1
0 27 22 1
0 2 39 1
0 45 6 1
0 27 2 1
0 29 45 1
0 47 15 1
3 37 143 275
0 8 9 1
0 44 1 1
0 39 6 1
0 33 15 1
3 39 457 370
0 32 40 1
0 41 15 1
0 13 15 1
0 42 17 1
0 41 10 1
0 7 32 1
0 6 33 1
0 16 5 1
0 29 22 1
3 43 96 253
0 30 37 1
0 39 1 1
0 9 48 1
0 42 45 1
0 14 11 1
0 11 49 1
0 21 49 1
0 8 47 1
0 21 45 1
0 49 38 1
0 39 14 1
0 29 16 1
0 0 2 1
0 21 9 1
0 41 31 1
0 21 46 1
0 39 8 1
0 26 8 1
0 21 20 1
0 1 45 1
0 20 18 1
0 35 49 1
0 40 36 1
0 47 38 1
0 49 38 1
0 12 19 1
0 40 16 1
0 30 4 1
0 34 1 1
0 21 9 1
0 48 2 1
0 12 1 1
0 5 33 1
0 43 10 1
