500 500 160
1 438 11
1 51 121
1 8 192
1 499 320
1 240 277
1 135 69
1 281 80
1 99 65
1 204 36
1 40 347
1 496 485
1 130 386
1 166 71
1 90 475
1 37 404
1 355 12
1 192 261
1 415 463
1 175 215
1 248 480
1 415 436
1 408 382
1 324 142
1 2 205
1 26 369
1 392 52
1 339 202
1 474 162
1 336 33
1 163 397
1 88 203
1 22 444
1 37 271
1 105 85
1 77 136
1 12 213
1 174 461
1 87 328
1 173 249
1 385 318
1 272 42
1 163 233
1 178 412
1 65 108
1 285 56
1 193 134
1 237 44
1 131 112
1 216 277
1 388 204
0 15 49 1
0 33 11 1
0 0 35 1
0 45 14 1
0 31 45 1
0 34 39 1
0 19 36 1
0 16 42 1
0 24 2 1
0 41 21 1
0 22 2 1
0 49 3 1
0 29 39 1
0 12 28 1
0 7 17 1
0 18 36 1
0 7 1 1
0 48 26 1
0 37 14 1
0 17 0 1
0 40 19 1
0 24 1 1
0 28 25 1
0 14 16 1
0 13 45 1
0 34 46 1
0 30 17 1
0 9 26 1
0 38 15 1
0 20 44 1
0 14 31 1
0 6 8 1
3 2 82 181
0 24 17 1
0 6 8 1
0 10 11 1
0 49 25 1
0 34 16 1
0 20 27 1
0 21 10 1
0 16 30 1
0 42 12 1
0 2 6 1
0 12 29 1
0 21 37 1
0 8 32 1
0 46 22 1
0 20 14 1
0 2 36 1
0 1 39 1
0 27 38 1
0 15 17 1
0 17 8 1
0 42 38 1
0 11 43 1
0 6 0 1
0 4 44 1
0 2 26 1
0 44 20 1
0 29 44 1
0 33 24 1
0 2 16 1
0 32 10 1
0 1 15 1
0 45 25 1
0 6 12 1
0 34 22 1
0 49 40 1
0 40 5 1
0 15 34 1
0 14 16 1
0 14 26 1
0 21 6 1
0 39 6 1
0 2 39 1
3 10 438 352
0 29 4 1
0 32 30 1
0 5 20 1
0 6 25 1
0 27 9 1
0 28 35 1
0 18 32 1
0 18 13 1
0 48 41 1
3 13 202 387
0 6 25 1
0 10 46 1
0 11 33 1
0 39 36 1
0 37 33 1
0 38 1 1
0 0 32 1
0 46 1 1
0 24 42 1
0 30 41 1
0 22 48 1
0 35 48 1
0 20 48 1
0 1 18 1
0 48 35 1
0 16 6 1
0 45 31 1
3 14 38 373
0 7 35 1
0 13 43 1
0 4 47 1
0 5 39 1
0 37 36 1
3 18 48 236
0 7 18 1
0 45 28 1
0 47 5 1
0 14 29 1
3 27 435 196
0 0 1 1
0 49 31 1
0 9 3 1
0 14 37 1
0 22 3 1
0 20 23 1
0 26 13 1
0 24 7 1
0 40 38 1
0 34 27 1
0 6 26 1
0 12 46 1
0 14 10 1
0 39 22 1
0 20 41 1
0 20 46 1
0 36 5 1
0 29 48 1
0 47 44 1
0 20 49 1
0 40 15 1
0 17 40 1
0 45 39 1
0 38 23 1
0 40 16 1
0 27 37 1
0 1 8 1
3 29 154 428
0 3 39 1
0 16 47 1
0 27 21 1
0 20 44 1
0 4 3 1
0 31 20 1
0 29 47 1
0 13 11 1
0 13 44 1
0 36 28 1
0 35 4 1
0 13 2 1
0 49 30 1
0 38 36 1
0 45 34 1
0 13 42 1
0 44 32 1
0 9 27 1
0 28 36 1
0 48 40 1
3 37 98 187
0 31 0 1
0 2 40 1
0 24 41 1
0 0 37 1
0 25 41 1
0 16 32 1
0 21 41 1
0 13 23 1
0 27 46 1
0 3 31 1
3 45 56 76
0 48 0 1
0 13 46 1
0 8 39 1
0 42 33 1
0 16 0 1
0 26 23 1
0 47 18 1
0 10 30 1
0 24 36 1
0 41 20 1
0 44 24 1
0 27 13 1
3 46 359 185
0 20 46 1
0 39 2 1
0 14 17 1
0 19 1 1
0 22 12 1
0 17 25 1
0 6 30 1
0 6 31 1
0 42 12 1
0 28 6 1
0 35 22 1
0 28 26 1
0 22 29 1
0 0 23 1
0 19 15 1
0 22 18 1
0 35 12 1
0 43 8 1
0 0 48 1
0 19 38 1
0 2 7 1
0 32 16 1
