500 500 120
1 241 168
1 297 295
1 263 56
1 459 456
1 300 99
1 488 198
1 255 166
1 438 288
1 488 425
1 256 116
1 210 379
1 48 251
1 440 102
1 433 165
1 312 95
1 472 64
1 28 299
1 373 320
1 270 336
1 271 230
1 446 472
1 266 71
1 270 153
1 217 302
1 131 328
1 155 217
1 394 246
1 362 223
1 303 338
1 18 326
1 210 367
1 49 240
1 430 323
1 464 395
1 253 215
1 157 433
1 25 229
1 476 121
1 432 142
1 392 63
1 371 282
1 174 327
1 83 211
1 27 353
1 29 191
1 330 225
1 313 339
1 216 33
1 68 464
1 433 8
0 3 24 1
0 15 5 1
0 47 24 1
0 22 28 1
3 5 357 183
0 11 42 1
0 0 13 1
0 36 13 1
0 17 33 1
0 27 28 1
0 24 46 1
0 9 38 1
0 1 28 1
0 41 17 1
0 27 5 1
0 46 11 1
0 46 22 1
0 24 33 1
0 43 18 1
0 17 26 1
0 3 25 1
0 31 13 1
0 24 46 1
0 46 42 1
0 30 28 1
0 36 45 1
0 21 46 1
0 41 48 1
0 1 19 1
0 28 24 1
0 0 5 1
0 2 48 1
0 40 21 1
0 1 21 1
0 17 23 1
0 9 35 1
3 7 465 291
0 34 0 1
0 25 6 1
0 7 8 1
0 28 11 1
0 28 24 1
0 41 17 1
3 12 496 180
0 45 34 1
0 26 6 1
0 26 12 1
0 29 14 1
0 29 49 1
0 10 7 1
0 27 19 1
0 10 30 1
0 49 37 1
0 9 41 1
0 45 17 1
0 25 11 1
0 4 44 1
0 5 28 1
0 18 44 1
0 40 47 1
0 47 39 1
0 38 1 1
0 36 18 1
0 47 20 1
0 26 27 1
0 12 27 1
0 21 5 1
0 36 16 1
0 34 38 1
0 29 10 1
0 18 14 1
0 28 26 1
0 29 42 1
0 1 30 1
0 10 30 1
0 1 12 1
0 18 43 1
0 33 34 1
0 49 37 1
0 46 12 1
0 37 26 1
0 48 33 1
0 8 27 1
0 7 16 1
0 36 9 1
0 4 39 1
0 49 40 1
0 23 20 1
0 46 44 1
0 1 26 1
0 16 7 1
0 37 12 1
0 6 40 1
0 9 16 1
0 48 26 1
0 18 33 1
0 4 18 1
0 49 25 1
0 46 11 1
0 29 17 1
0 49 10 1
0 29 9 1
3 15 376 153
0 29 6 1
0 4 14 1
0 30 13 1
0 25 12 1
0 14 4 1
0 6 36 1
0 44 28 1
0 25 27 1
0 34 33 1
0 26 39 1
0 2 35 1
0 5 18 1
0 37 5 1
0 32 36 1
0 48 29 1
3 16 32 227
0 6 15 1
0 36 19 1
0 26 17 1
0 31 12 1
0 29 45 1
0 4 12 1
0 4 46 1
0 5 6 1
0 42 32 1
0 49 24 1
0 19 37 1
0 2 16 1
0 22 32 1
0 47 44 1
3 18 182 326
0 31 28 1
0 2 23 1
0 0 29 1
0 36 24 1
0 44 3 1
0 21 29 1
0 30 36 1
3 27 231 142
0 16 5 1
0 11 17 1
0 14 45 1
0 3 46 1
0 35 44 1
0 19 42 1
0 16 21 1
0 32 25 1
0 18 26 1
3 35 96 327
0 19 1 1
0 0 23 1
0 14 23 1
3 37 449 43
0 12 18 1
0 21 27 1
0 6 5 1
0 42 48 1
0 39 25 1
0 7 25 1
0 42 48 1
0 29 23 1
0 13 19 1
0 23 5 1
0 32 4 1
0 1 37 1
0 5 36 1
0 42 28 1
0 8 7 1
0 11 43 1
0 22 8 1
0 31 23 1
0 18 37 1
0 47 29 1
0 40 33 1
0 34 22 1
0 10 11 1
0 16 18 1
0 14 38 1
0 19 49 1
0 23 4 1
0 40 45 1
0 47 30 1
0 31 12 1
0 10 39 1
0 25 12 1
0 29 4 1
0 47 32 1
3 42 155 326
0 45 15 1
0 21 2 1
0 28 3 1
0 35 27 1
0 16 32 1
0 27 17 1
0 4 17 1
0 8 7 1
0 23 44 1
0 19 15 1
0 26 1 1
0 22 15 1
0 31 6 1
0 6 42 1
0 7 45 1
0 3 41 1
0 6 27 1
0 46 24 1
0 4 37 1
