500 500 160
1 438 11
1 51 121
1 8 192
1 499 320
1 240 277
1 135 69
1 281 80
1 99 65
1 204 36
1 40 347
1 496 485
1 130 386
1 166 71
1 90 475
1 37 404
1 355 12
1 192 261
1 415 463
1 175 215
1 248 480
1 415 436
1 408 382
1 324 142
1 2 205
1 26 369
1 392 52
1 339 202
1 474 162
1 336 33
1 163 397
1 88 203
1 22 444
1 37 271
1 105 85
1 77 136
1 12 213
1 174 461
1 87 328
1 173 249
1 385 318
1 272 42
1 163 233
1 178 412
1 65 108
1 285 56
1 193 134
1 237 44
1 131 112
1 216 277
1 388 204
0 47 29 1
0 24 39 1
0 30 26 1
0 49 26 1
0 20 10 1
0 43 32 1
0 46 35 1
0 18 41 1
0 1 34 1
0 8 18 1
0 23 31 1
0 8 44 1
0 33 25 1
0 41 46 1
0 19 44 1
0 33 4 1
0 20 48 1
0 11 28 1
0 9 20 1
0 35 6 1
0 46 16 1
0 42 31 1
0 49 47 1
0 45 29 1
0 16 38 1
0 3 34 1
0 1 4 1
0 7 8 1
0 19 18 1
0 15 22 1
0 49 40 1
0 40 17 1
0 34 36 1
0 15 23 1
0 19 8 1
0 12 22 1
0 32 26 1
0 11 3 1
0 26 27 1
0 29 36 1
0 33 7 1
0 21 3 1
0 43 27 1
0 22 48 1
0 20 18 1
0 38 6 1
0 29 4 1
0 27 47 1
0 20 29 1
0 47 41 1
0 34 49 1
0 31 29 1
0 42 29 1
0 23 9 1
0 26 48 1
0 8 4 1
0 38 21 1
0 31 14 1
0 39 0 1
0 8 47 1
0 48 4 1
0 15 7 1
0 35 1 1
0 43 12 1
0 31 16 1
0 41 48 1
0 16 30 1
0 49 10 1
0 2 29 1
0 7 16 1
0 44 3 1
0 36 15 1
0 38 41 1
0 37 26 1
0 11 26 1
0 41 20 1
0 25 8 1
0 2 34 1
0 39 35 1
0 35 45 1
0 24 28 1
0 21 14 1
0 10 17 1
0 1 13 1
0 36 25 1
0 6 28 1
0 1 19 1
0 39 16 1
0 28 26 1
0 45 24 1
0 13 38 1
0 49 14 1
0 22 46 1
0 9 32 1
0 0 28 1
0 46 20 1
0 10 6 1
0 30 40 1
0 21 23 1
0 40 19 1
0 9 40 1
0 47 14 1
0 1 39 1
0 43 44 1
0 22 40 1
0 46 13 1
0 26 22 1
0 31 41 1
0 12 40 1
0 16 48 1
0 38 24 1
0 0 8 1
0 45 46 1
0 49 48 1
0 40 44 1
0 40 41 1
0 33 1 1
0 21 17 1
0 45 1 1
0 33 27 1
0 29 34 1
0 10 36 1
0 8 20 1
0 44 2 1
0 11 32 1
0 25 27 1
0 0 1 1
0 14 10 1
0 1 9 1
0 1 33 1
0 6 36 1
0 26 12 1
0 32 18 1
0 19 16 1
0 21 20 1
0 7 18 1
0 6 7 1
0 9 24 1
0 27 31 1
0 2 15 1
0 21 39 1
0 48 24 1
0 4 21 1
0 18 43 1
0 36 10 1
0 32 48 1
0 48 25 1
0 22 42 1
0 31 1 1
0 42 44 1
0 10 42 1
0 11 45 1
0 4 48 1
0 35 20 1
0 29 22 1
0 28 46 1
0 47 26 1
0 10 27 1
0 32 12 1
0 12 35 1
0 37 0 1
0 7 37 1
0 20 21 1
0 45 44 1
0 17 41 1
0 25 4 1
0 31 12 1
0 22 46 1
0 10 25 1
0 42 8 1
0 46 22 1
0 35 44 1
0 48 38 1
0 33 46 1
0 36 18 1
0 14 42 1
0 32 35 1
0 34 48 1
0 38 14 1
0 11 20 1
0 19 14 1
0 30 23 1
0 20 24 1
0 38 36 1
0 10 37 1
0 25 39 1
0 41 39 1
0 35 6 1
0 12 49 1
0 23 40 1
0 47 29 1
0 37 48 1
0 36 49 1
0 35 34 1
0 8 10 1
0 7 14 1
0 18 5 1
0 28 24 1
0 25 23 1
0 3 49 1
