500 500 120
1 241 168
1 297 295
1 263 56
1 459 456
1 300 99
1 488 198
1 255 166
1 438 288
1 488 425
1 256 116
1 210 379
1 48 251
1 440 102
1 433 165
1 312 95
1 472 64
1 28 299
1 373 320
1 270 336
1 271 230
1 446 472
1 266 71
1 270 153
1 217 302
1 131 328
1 155 217
1 394 246
1 362 223
1 303 338
1 18 326
1 210 367
1 49 240
1 430 323
1 464 395
1 253 215
1 157 433
1 25 229
1 476 121
1 432 142
1 392 63
1 371 282
1 174 327
1 83 211
1 27 353
1 29 191
1 330 225
1 313 339
1 216 33
1 68 464
1 433 8
0 7 49 1
0 23 39 1
0 37 14 1
0 31 7 1
0 48 8 1
0 33 2 1
0 16 43 1
0 48 35 1
0 9 19 1
0 28 44 1
0 2 46 1
0 31 41 1
0 18 49 1
0 27 7 1
0 37 7 1
0 1 21 1
0 36 46 1
0 6 5 1
0 15 21 1
0 2 13 1
0 26 4 1
0 33 8 1
0 31 35 1
0 20 38 1
0 29 6 1
0 26 27 1
0 49 39 1
0 4 3 1
0 12 29 1
0 47 15 1
0 31 14 1
0 9 49 1
0 28 42 1
0 3 23 1
0 34 42 1
0 44 23 1
0 4 11 1
0 38 48 1
0 19 40 1
0 36 26 1
0 34 35 1
0 4 38 1
0 23 39 1
0 3 39 1
0 3 10 1
0 23 49 1
0 10 40 1
0 30 15 1
0 34 49 1
0 30 14 1
0 39 28 1
0 19 0 1
0 6 40 1
0 44 2 1
0 28 29 1
0 12 28 1
0 45 8 1
0 33 2 1
0 36 3 1
0 44 33 1
0 21 14 1
0 27 47 1
0 39 49 1
0 23 5 1
0 2 37 1
0 24 9 1
0 2 49 1
0 15 48 1
0 26 31 1
0 30 44 1
0 29 38 1
0 10 27 1
0 7 22 1
0 7 24 1
0 47 1 1
0 49 25 1
0 15 49 1
0 29 40 1
0 41 28 1
0 12 30 1
0 28 38 1
0 34 24 1
0 19 45 1
0 23 48 1
0 48 49 1
0 0 11 1
0 11 33 1
0 46 38 1
0 1 30 1
0 36 7 1
0 12 48 1
0 22 9 1
0 12 49 1
0 27 40 1
0 19 28 1
0 24 18 1
0 15 31 1
0 38 4 1
0 9 41 1
0 38 12 1
0 49 44 1
0 2 18 1
0 7 21 1
0 32 17 1
0 14 29 1
0 10 40 1
0 6 9 1
0 11 26 1
0 34 24 1
0 35 21 1
0 39 17 1
0 0 26 1
0 45 49 1
0 0 29 1
0 33 16 1
0 21 19 1
0 0 9 1
0 41 25 1
0 19 46 1
0 30 44 1
0 11 6 1
0 7 24 1
0 38 30 1
0 38 17 1
0 30 49 1
0 11 20 1
0 16 4 1
0 25 2 1
0 34 39 1
0 17 49 1
0 43 14 1
0 11 49 1
0 38 11 1
0 40 10 1
0 38 1 1
0 10 36 1
0 22 21 1
0 49 42 1
0 11 15 1
0 32 25 1
0 33 18 1
0 10 28 1
0 0 10 1
0 22 33 1
0 17 28 1
0 10 38 1
0 40 24 1
0 14 41 1
0 21 11 1
0 32 11 1
0 23 20 1
0 4 32 1
0 32 44 1
0 10 49 1
0 2 9 1
0 6 37 1
0 1 37 1
0 16 40 1
0 15 42 1
0 33 37 1
0 24 3 1
0 35 43 1
0 28 39 1
0 43 28 1
0 37 15 1
0 45 3 1
0 0 5 1
0 47 24 1
0 9 49 1
0 31 49 1
0 37 43 1
0 9 24 1
0 41 26 1
0 12 35 1
0 14 46 1
0 15 21 1
0 38 45 1
0 43 48 1
0 6 29 1
0 16 42 1
0 4 31 1
0 20 13 1
0 38 27 1
0 10 31 1
0 28 12 1
0 42 44 1
0 10 19 1
0 7 2 1
0 44 28 1
0 7 3 1
0 0 9 1
0 39 19 1
0 12 2 1
0 37 29 1
0 42 3 1
0 25 42 1
0 43 23 1
0 40 41 1
0 17 46 1
0 44 15 1
