500 500 120
1 241 168
1 297 295
1 263 56
1 459 456
1 300 99
1 488 198
1 255 166
1 438 288
1 488 425
1 256 116
1 210 379
1 48 251
1 440 102
1 433 165
1 312 95
1 472 64
1 28 299
1 373 320
1 270 336
1 271 230
1 446 472
1 266 71
1 270 153
1 217 302
1 131 328
1 155 217
1 394 246
1 362 223
1 303 338
1 18 326
1 210 367
1 49 240
1 430 323
1 464 395
1 253 215
1 157 433
1 25 229
1 476 121
1 432 142
1 392 63
1 371 282
1 174 327
1 83 211
1 27 353
1 29 191
1 330 225
1 313 339
1 216 33
1 68 464
1 433 8
0 14 41 1
0 41 11 1
0 15 49 1
0 21 34 1
0 48 21 1
0 14 10 1
0 36 43 1
0 2 32 1
0 42 16 1
0 3 27 1
0 12 5 1
0 14 19 1
0 34 41 1
0 45 2 1
0 38 27 1
0 8 29 1
0 20 45 1
0 25 21 1
0 1 33 1
0 35 0 1
0 21 23 1
0 26 44 1
0 46 26 1
0 27 36 1
0 12 9 1
0 27 41 1
0 46 32 1
0 10 36 1
0 47 34 1
0 7 21 1
0 22 41 1
0 3 17 1
0 48 1 1
0 27 18 1
0 30 41 1
0 8 7 1
0 37 6 1
0 3 42 1
0 34 5 1
0 40 13 1
0 47 22 1
0 36 24 1
0 18 20 1
0 40 1 1
0 21 35 1
0 29 8 1
0 15 39 1
0 23 16 1
0 7 44 1
0 18 45 1
0 42 26 1
0 32 16 1
0 16 8 1
0 49 14 1
0 1 5 1
0 42 0 1
0 28 27 1
0 1 26 1
0 30 38 1
0 47 10 1
0 0 1 1
0 14 6 1
0 1 0 1
0 17 22 1
0 2 42 1
0 49 11 1
0 11 4 1
0 45 44 1
0 45 9 1
0 45 20 1
0 44 13 1
0 47 45 1
0 6 20 1
0 42 36 1
0 6 15 1
0 11 46 1
0 41 2 1
0 27 45 1
0 10 33 1
0 17 8 1
0 23 48 1
0 7 31 1
0 13 32 1
0 19 1 1
0 0 17 1
0 40 15 1
0 21 47 1
0 38 16 1
0 12 24 1
0 21 39 1
0 15 2 1
0 28 17 1
0 33 24 1
0 15 27 1
0 10 30 1
0 41 33 1
0 4 36 1
0 26 31 1
0 35 33 1
0 7 47 1
0 21 47 1
0 3 9 1
0 38 2 1
0 31 3 1
0 42 12 1
0 7 26 1
0 10 32 1
0 9 18 1
0 30 26 1
0 14 2 1
0 43 14 1
0 47 6 1
0 23 20 1
0 5 8 1
0 12 41 1
0 8 30 1
0 49 37 1
0 41 12 1
0 7 10 1
0 8 23 1
0 10 44 1
0 43 6 1
0 45 30 1
0 7 41 1
0 42 49 1
0 30 33 1
0 30 2 1
0 15 21 1
0 1 47 1
0 8 49 1
0 15 20 1
0 17 13 1
0 30 28 1
0 28 26 1
0 26 43 1
0 41 17 1
0 3 5 1
0 12 10 1
0 1 26 1
0 24 47 1
0 1 11 1
0 4 38 1
0 25 28 1
0 5 33 1
0 27 4 1
0 44 37 1
0 23 3 1
0 28 7 1
0 19 21 1
0 7 21 1
0 24 7 1
0 10 14 1
0 8 33 1
0 10 1 1
0 7 42 1
0 8 42 1
0 44 48 1
0 36 22 1
0 11 7 1
0 15 14 1
0 19 18 1
0 17 43 1
0 4 14 1
0 18 30 1
0 19 17 1
0 9 27 1
0 13 21 1
0 16 39 1
0 19 32 1
0 14 10 1
0 34 40 1
0 44 34 1
0 41 34 1
0 11 18 1
0 37 12 1
0 35 7 1
0 13 23 1
0 45 42 1
0 6 20 1
0 22 3 1
0 26 20 1
0 42 41 1
0 41 33 1
0 30 40 1
0 10 33 1
0 21 25 1
0 6 32 1
0 11 45 1
0 29 33 1
0 42 0 1
0 28 9 1
0 22 4 1
0 3 29 1
0 21 34 1
0 40 41 1
0 14 20 1
0 33 27 1
0 41 27 1
0 1 21 1
0 32 47 1
