500 500 120
1 241 168
1 297 295
1 263 56
1 459 456
1 300 99
1 488 198
1 255 166
1 438 288
1 488 425
1 256 116
1 210 379
1 48 251
1 440 102
1 433 165
1 312 95
1 472 64
1 28 299
1 373 320
1 270 336
1 271 230
1 446 472
1 266 71
1 270 153
1 217 302
1 131 328
1 155 217
1 394 246
1 362 223
1 303 338
1 18 326
1 210 367
1 49 240
1 430 323
1 464 395
1 253 215
1 157 433
1 25 229
1 476 121
1 432 142
1 392 63
1 371 282
1 174 327
1 83 211
1 27 353
1 29 191
1 330 225
1 313 339
1 216 33
1 68 464
1 433 8
0 45 25 1
0 23 28 1
0 41 23 1
0 48 19 1
0 29 5 1
0 18 38 1
0 49 47 1
0 21 27 1
0 46 1 1
0 0 14 1
0 47 33 1
0 33 5 1
0 28 25 1
0 7 44 1
0 35 26 1
0 47 9 1
0 27 19 1
0 7 18 1
0 22 21 1
0 19 16 1
0 13 37 1
0 31 1 1
0 41 12 1
0 19 44 1
0 42 3 1
0 22 37 1
0 35 28 1
0 2 6 1
0 19 4 1
0 5 14 1
0 31 32 1
0 29 4 1
0 21 0 1
0 9 46 1
0 39 3 1
0 4 19 1
0 23 49 1
0 12 4 1
0 24 26 1
0 1 38 1
0 5 18 1
0 29 48 1
0 37 18 1
0 15 19 1
0 45 20 1
0 10 35 1
0 35 0 1
0 25 9 1
0 1 7 1
0 28 32 1
0 1 44 1
0 14 8 1
0 19 8 1
0 10 3 1
0 36 43 1
0 4 33 1
0 45 20 1
0 25 0 1
0 11 40 1
0 45 24 1
0 49 20 1
0 1 9 1
0 42 23 1
0 43 10 1
0 45 7 1
0 49 2 1
0 20 0 1
0 44 21 1
0 26 46 1
0 23 10 1
0 31 16 1
0 7 13 1
0 49 14 1
0 9 44 1
0 22 5 1
0 31 33 1
0 2 22 1
0 29 49 1
0 5 46 1
0 45 16 1
0 22 38 1
0 48 39 1
0 19 13 1
0 21 11 1
0 3 11 1
0 23 1 1
0 30 10 1
0 22 49 1
0 9 13 1
0 13 37 1
0 42 22 1
0 46 27 1
0 17 15 1
0 12 5 1
0 38 30 1
0 30 44 1
0 18 4 1
0 28 19 1
0 3 44 1
0 9 45 1
0 43 49 1
0 25 15 1
0 8 10 1
0 47 48 1
0 27 49 1
0 0 33 1
0 9 19 1
0 20 42 1
0 27 22 1
0 24 29 1
0 38 47 1
0 17 44 1
0 41 0 1
0 38 46 1
0 43 31 1
0 4 16 1
0 19 9 1
0 39 2 1
0 32 12 1
0 34 1 1
0 7 2 1
0 21 20 1
0 38 23 1
0 1 7 1
0 24 3 1
0 37 49 1
0 41 40 1
0 45 0 1
0 5 49 1
0 6 34 1
0 37 43 1
0 11 3 1
0 10 8 1
0 15 44 1
0 42 1 1
0 24 5 1
0 5 38 1
0 4 49 1
0 47 24 1
0 39 48 1
0 22 40 1
0 6 24 1
0 45 40 1
0 26 11 1
0 12 10 1
0 45 17 1
0 24 18 1
0 15 12 1
0 29 10 1
0 40 4 1
0 35 14 1
0 8 20 1
0 9 11 1
0 45 28 1
0 39 6 1
0 45 3 1
0 43 23 1
0 11 14 1
0 44 26 1
0 12 20 1
0 24 21 1
0 14 48 1
0 44 35 1
0 35 18 1
0 23 45 1
0 2 48 1
0 25 42 1
0 14 33 1
0 45 24 1
0 44 48 1
0 13 38 1
0 10 22 1
0 39 42 1
0 46 18 1
0 23 43 1
0 27 21 1
0 4 39 1
0 18 49 1
0 32 36 1
0 29 47 1
0 18 10 1
0 9 5 1
0 47 19 1
0 24 2 1
0 8 21 1
0 20 44 1
0 19 33 1
0 8 39 1
0 26 14 1
0 3 20 1
0 41 16 1
0 47 15 1
0 13 29 1
0 22 45 1
0 20 19 1
0 34 49 1
0 8 0 1
0 48 31 1
0 46 33 1
0 34 38 1
