500 500 120
1 241 168
1 297 295
1 263 56
1 459 456
1 300 99
1 488 198
1 255 166
1 438 288
1 488 425
1 256 116
1 210 379
1 48 251
1 440 102
1 433 165
1 312 95
1 472 64
1 28 299
1 373 320
1 270 336
1 271 230
1 446 472
1 266 71
1 270 153
1 217 302
1 131 328
1 155 217
1 394 246
1 362 223
1 303 338
1 18 326
1 210 367
1 49 240
1 430 323
1 464 395
1 253 215
1 157 433
1 25 229
1 476 121
1 432 142
1 392 63
1 371 282
1 174 327
1 83 211
1 27 353
1 29 191
1 330 225
1 313 339
1 216 33
1 68 464
1 433 8
0 37 40 1
0 42 17 1
0 34 46 1
0 11 0 1
0 32 31 1
0 1 29 1
0 23 13 1
0 36 28 1
0 17 0 1
0 46 32 1
0 12 44 1
0 13 20 1
0 25 38 1
0 30 1 1
0 40 10 1
0 48 7 1
0 4 13 1
0 42 7 1
0 21 29 1
0 36 44 1
0 14 1 1
0 44 47 1
0 32 6 1
0 22 7 1
0 38 30 1
0 20 48 1
0 14 2 1
0 26 0 1
0 31 46 1
0 14 47 1
0 45 48 1
0 38 0 1
0 38 43 1
0 32 28 1
0 29 6 1
0 15 41 1
0 41 42 1
0 20 28 1
0 28 39 1
0 30 11 1
0 45 20 1
0 5 28 1
0 28 42 1
0 41 12 1
0 9 29 1
0 41 0 1
0 25 48 1
0 5 3 1
0 24 22 1
0 12 8 1
0 5 31 1
0 12 1 1
0 47 39 1
0 3 27 1
0 25 38 1
0 39 0 1
0 22 23 1
0 9 15 1
0 5 7 1
0 17 0 1
0 0 34 1
0 23 9 1
0 30 33 1
0 44 0 1
0 11 15 1
0 20 42 1
0 0 21 1
0 28 17 1
0 5 28 1
0 8 47 1
0 2 29 1
0 28 14 1
0 0 2 1
0 6 21 1
0 13 33 1
0 22 6 1
0 30 27 1
0 26 37 1
0 38 15 1
0 5 16 1
0 4 12 1
0 37 27 1
0 11 44 1
0 39 41 1
0 21 3 1
0 43 42 1
0 43 34 1
0 7 5 1
0 17 26 1
0 34 17 1
0 48 41 1
0 34 43 1
0 42 38 1
0 21 29 1
0 37 38 1
0 4 9 1
0 1 38 1
0 37 46 1
0 26 5 1
0 21 12 1
0 44 14 1
0 19 7 1
0 44 35 1
0 1 45 1
0 33 11 1
0 43 24 1
0 0 11 1
0 45 7 1
0 27 20 1
0 34 6 1
0 44 24 1
0 14 38 1
0 24 16 1
0 16 20 1
0 40 37 1
0 23 2 1
0 32 35 1
0 29 8 1
0 28 49 1
0 35 16 1
0 9 20 1
0 25 16 1
0 10 17 1
0 5 25 1
0 48 12 1
0 48 42 1
0 15 8 1
0 12 43 1
0 30 42 1
0 21 19 1
0 18 29 1
0 40 1 1
0 39 0 1
0 47 33 1
0 10 14 1
0 45 13 1
0 37 45 1
0 12 10 1
0 8 48 1
0 15 32 1
0 31 37 1
0 23 39 1
0 8 33 1
0 17 37 1
0 16 49 1
0 42 15 1
0 32 4 1
0 31 33 1
0 0 49 1
0 23 7 1
0 15 11 1
0 30 32 1
0 21 24 1
0 13 7 1
0 25 40 1
0 2 25 1
0 32 7 1
0 46 44 1
0 27 46 1
0 23 15 1
0 17 30 1
0 19 8 1
0 36 41 1
0 37 39 1
0 10 27 1
0 40 31 1
0 45 9 1
0 18 16 1
0 3 1 1
0 10 7 1
0 41 36 1
0 42 15 1
0 40 33 1
0 20 33 1
0 33 2 1
0 25 15 1
0 13 46 1
0 3 47 1
0 25 46 1
0 21 17 1
0 24 10 1
0 39 6 1
0 6 31 1
0 6 18 1
0 0 37 1
0 23 22 1
0 0 15 1
0 14 49 1
0 9 40 1
0 33 41 1
0 23 37 1
0 12 49 1
0 45 7 1
0 30 15 1
0 16 5 1
0 34 42 1
0 6 42 1
0 0 43 1
0 33 26 1
0 49 42 1
