500 500 160
1 438 11
1 51 121
1 8 192
1 499 320
1 240 277
1 135 69
1 281 80
1 99 65
1 204 36
1 40 347
1 496 485
1 130 386
1 166 71
1 90 475
1 37 404
1 355 12
1 192 261
1 415 463
1 175 215
1 248 480
1 415 436
1 408 382
1 324 142
1 2 205
1 26 369
1 392 52
1 339 202
1 474 162
1 336 33
1 163 397
1 88 203
1 22 444
1 37 271
1 105 85
1 77 136
1 12 213
1 174 461
1 87 328
1 173 249
1 385 318
1 272 42
1 163 233
1 178 412
1 65 108
1 285 56
1 193 134
1 237 44
1 131 112
1 216 277
1 388 204
0 14 39 1
0 6 27 1
0 34 48 1
0 28 35 1
0 2 31 1
0 4 0 1
0 14 33 1
0 21 32 1
0 17 43 1
0 12 24 1
0 5 19 1
0 49 39 1
0 10 28 1
3 13 226 404
0 47 17 1
3 41 262 165
0 30 37 1
0 10 20 1
0 20 6 1
0 4 0 1
0 47 5 1
0 11 36 1
0 2 39 1
0 5 32 1
0 7 17 1
0 16 31 1
0 23 1 1
0 32 4 1
0 32 25 1
0 12 25 1
0 22 36 1
0 27 7 1
0 12 36 1
0 38 17 1
0 8 9 1
0 43 1 1
0 31 42 1
0 9 40 1
0 45 39 1
0 7 30 1
0 3 16 1
0 1 31 1
0 32 0 1
0 2 41 1
0 44 33 1
0 5 0 1
0 24 37 1
0 29 3 1
0 32 36 1
0 37 45 1
0 49 18 1
0 36 37 1
0 9 17 1
0 45 35 1
0 42 45 1
0 26 12 1
0 27 49 1
0 23 27 1
0 1 0 1
0 25 45 1
0 49 6 1
0 4 32 1
3 49 246 124
0 11 39 1
0 45 49 1
0 42 29 1
0 36 22 1
0 30 43 1
0 10 45 1
0 8 30 1
0 29 44 1
3 12 72 191
0 31 42 1
0 28 21 1
0 16 18 1
0 20 18 1
0 38 25 1
0 2 31 1
0 45 5 1
0 49 22 1
0 43 41 1
0 33 47 1
0 0 37 1
0 6 43 1
0 7 2 1
0 8 17 1
0 13 45 1
0 23 7 1
0 10 12 1
0 31 32 1
0 21 40 1
0 22 1 1
0 21 29 1
0 37 16 1
0 17 42 1
0 27 17 1
0 40 29 1
0 29 12 1
0 27 38 1
0 34 14 1
0 7 36 1
0 30 14 1
0 32 35 1
0 49 47 1
0 35 12 1
0 1 15 1
0 36 8 1
0 15 31 1
0 33 47 1
0 44 47 1
0 22 26 1
0 38 20 1
0 37 6 1
0 36 5 1
0 49 5 1
3 27 341 66
0 21 25 1
0 47 49 1
0 6 48 1
0 7 29 1
0 2 11 1
0 28 22 1
0 20 48 1
0 49 17 1
0 13 41 1
0 49 24 1
0 27 40 1
0 18 44 1
0 14 30 1
0 4 10 1
0 2 7 1
0 49 34 1
0 9 3 1
0 48 49 1
0 6 13 1
0 49 41 1
3 38 253 145
0 34 36 1
0 13 3 1
0 18 27 1
0 18 14 1
0 4 6 1
0 8 22 1
0 12 32 1
0 40 26 1
0 16 38 1
0 28 17 1
0 6 22 1
0 36 22 1
3 32 130 389
3 1 176 253
0 29 33 1
0 47 0 1
0 41 47 1
0 35 40 1
0 43 17 1
0 36 32 1
0 25 48 1
0 18 25 1
0 32 15 1
0 32 23 1
0 27 18 1
0 20 13 1
0 40 11 1
0 49 1 1
0 35 31 1
0 9 3 1
0 38 42 1
0 10 47 1
0 28 36 1
0 31 48 1
0 29 3 1
0 21 16 1
0 15 40 1
0 21 27 1
0 43 38 1
0 8 49 1
0 25 30 1
0 6 35 1
0 48 11 1
0 29 35 1
0 41 49 1
0 35 48 1
0 40 49 1
0 49 45 1
0 9 18 1
3 21 308 252
0 37 20 1
0 45 14 1
0 16 1 1
0 29 42 1
0 18 43 1
0 24 36 1
3 2 131 55
0 14 49 1
0 24 2 1
0 14 28 1
0 16 32 1
0 27 43 1
0 48 3 1
0 33 42 1
0 4 24 1
0 5 9 1
0 21 6 1
0 18 12 1
0 45 10 1
0 26 2 1
0 45 11 1
0 39 10 1
0 10 49 1
